Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Adult
1,1,4,9500,1,Complete Secondary Education,142.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Management,Management,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate,0
1,1,4,9670,1,Complete Secondary Education,125.0,1,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate,0
1,1,1,9500,1,Complete Secondary Education,126.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Professionals,Agriculture and Fishery,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate,0
1,1,1,9238,1,Complete Secondary Education,151.0,1,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0
1,17,2,9238,1,Complete Secondary Education,115.0,1,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Craft and Related Trades,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate,1
1,1,1,9085,1,Complete Secondary Education,138.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Professionals,Professionals,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,0
1,1,1,9147,1,Complete Secondary Education,135.0,1,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate,0
1,17,2,9500,1,Complete Secondary Education,127.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Elementary Occupations,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled,0
1,44,1,9003,1,Other,150.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Technicians,Management,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled,1
1,51,1,9070,1,Complete Secondary Education,125.0,1,Other Specific Qualifications,Higher Education - Undergraduate,Other,Other,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,0
1,1,1,9147,1,Complete Secondary Education,143.0,1,Complete Secondary Education,Complete Secondary Education,Technicians,Service and Sales,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0
1,18,1,8014,0,Complete Secondary Education,138.0,1,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Administrative,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,0
1,1,1,9991,0,Complete Secondary Education,130.0,1,Higher Education - Undergraduate,Other Specific Qualifications,Professionals,Plant and Machine Operators,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate,1
1,39,1,33,1,Complete Secondary Education,130.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,1
1,43,1,9147,1,Complete Secondary Education,140.0,1,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Service and Sales,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,1
4,39,1,9991,0,Complete Secondary Education,120.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Professionals,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,1
1,44,1,9130,1,Other,120.0,6,Higher Education - Undergraduate,Higher Education - Undergraduate,Professionals,Service and Sales,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0
1,1,5,9773,1,Complete Secondary Education,126.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0
1,1,2,9147,1,Complete Secondary Education,133.0,1,Higher Education - Undergraduate,Incomplete Secondary Education,Management,Agriculture and Fishery,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,1
1,1,6,9500,1,Complete Secondary Education,103.0,1,Complete Secondary Education,Higher Education - Undergraduate,Management,Management,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate,1
1,17,1,9773,1,Complete Secondary Education,120.0,1,Complete Secondary Education,Other Specific Qualifications,Administrative,Administrative,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,0
1,39,1,9991,0,Complete Secondary Education,133.1,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,1
1,17,1,9991,0,Complete Secondary Education,154.0,1,Other Specific Qualifications,Other Specific Qualifications,Technicians,Administrative,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled,1
1,17,2,9238,1,Complete Secondary Education,130.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0
1,17,6,9500,1,Complete Secondary Education,132.0,1,Other Specific Qualifications,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate,1
1,44,1,8014,0,Other,130.0,1,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate,1
1,1,1,9238,1,Complete Secondary Education,139.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate,0
1,39,1,9254,1,Complete Secondary Education,130.0,1,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate,1
1,1,1,9500,1,Complete Secondary Education,139.0,1,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Service and Sales,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled,0
1,1,1,9773,1,Complete Secondary Education,127.0,1,Complete Secondary Education,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0
1,1,3,9130,1,Complete Secondary Education,167.0,1,Other Specific Qualifications,Other Specific Qualifications,Other,Other,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,0
1,39,1,9991,0,Complete Secondary Education,130.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,1
1,1,1,9500,1,Complete Secondary Education,130.0,1,Complete Secondary Education,Incomplete Secondary Education,Administrative,Administrative,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0
2,7,1,9254,1,Higher Education - Bachelor/Degree,130.0,1,Complete Secondary Education,Higher Education - Undergraduate,Technicians,Professionals,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,1
1,39,1,9130,1,Other,129.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,1
1,17,1,9500,1,Complete Secondary Education,141.0,1,Other Specific Qualifications,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,0
1,1,3,171,1,Complete Secondary Education,125.0,1,Other Specific Qualifications,Other Specific Qualifications,Technicians,Plant and Machine Operators,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,0
1,1,2,9500,1,Complete Secondary Education,125.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate,0
1,44,1,9238,1,Other,130.0,1,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,1
1,17,3,171,1,Complete Secondary Education,133.0,1,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,126.0,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,0
1,17,1,9070,1,Complete Secondary Education,127.0,1,Complete Secondary Education,Complete Secondary Education,Professionals,Technicians,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,0
1,43,1,9070,1,Complete Secondary Education,116.0,1,Complete Secondary Education,Complete Secondary Education,Professionals,Professionals,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,1
4,42,1,9500,1,Other,133.1,1,Complete Secondary Education,Complete Secondary Education,Administrative,Administrative,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,1
1,1,3,171,1,Complete Secondary Education,139.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Professionals,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0
1,44,1,9003,1,Other,130.0,1,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate,1
1,1,3,9147,1,Complete Secondary Education,125.0,1,Complete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,0
1,39,1,9254,1,Complete Secondary Education,160.0,1,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,1
1,17,1,9147,1,Complete Secondary Education,148.0,1,Other Specific Qualifications,Other Specific Qualifications,Administrative,Administrative,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0
1,17,1,9500,1,Complete Secondary Education,150.0,1,Other Specific Qualifications,Incomplete Secondary Education,Craft and Related Trades,Technicians,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,1
1,1,1,171,1,Complete Secondary Education,141.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Administrative,Elementary Occupations,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0
1,17,4,9254,1,Complete Secondary Education,118.0,1,Other Specific Qualifications,Other Specific Qualifications,Administrative,Agriculture and Fishery,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,0
1,1,2,9773,1,Complete Secondary Education,142.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate,0
1,17,3,9147,1,Complete Secondary Education,120.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Technicians,Agriculture and Fishery,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout,0
1,18,4,9254,1,Complete Secondary Education,106.0,1,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,1
1,17,4,9773,1,Complete Secondary Education,121.0,1,Complete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Craft and Related Trades,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate,0
1,17,4,9500,1,Complete Secondary Education,150.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate,1
2,39,1,8014,0,Complete Secondary Education,120.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate,1
1,1,6,9853,1,Complete Secondary Education,114.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,0
1,39,1,9991,0,Higher Education - Bachelor/Degree,140.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,1
1,17,1,9254,1,Complete Secondary Education,120.0,1,Incomplete Secondary Education,Incomplete Secondary Education,Technicians,Technicians,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled,0
2,39,1,8014,0,Complete Secondary Education,130.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,1
1,42,1,9500,1,Complete Secondary Education,160.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,1
1,39,1,9670,1,Complete Secondary Education,120.0,1,Complete Secondary Education,Incomplete Secondary Education,Technicians,Administrative,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,1
1,17,1,9070,1,Complete Secondary Education,124.0,1,Incomplete Secondary Education,Other Specific Qualifications,Technicians,Other,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,0
1,1,6,9147,1,Complete Secondary Education,143.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,1
1,43,2,9119,1,Complete Secondary Education,115.0,1,Other Specific Qualifications,Incomplete Secondary Education,Plant and Machine Operators,Service and Sales,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,0
1,39,1,9500,1,Complete Secondary Education,133.1,1,Complete Secondary Education,Complete Secondary Education,Technicians,Elementary Occupations,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,1
1,17,2,9773,1,Complete Secondary Education,133.1,41,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,105.0,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,1
1,15,1,9130,1,Complete Secondary Education,133.1,41,Complete Secondary Education,Complete Secondary Education,Technicians,Technicians,100.0,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,1
2,39,1,8014,0,Complete Secondary Education,133.1,1,Other Specific Qualifications,Incomplete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,114.0,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate,1
1,15,1,9119,1,Complete Secondary Education,130.0,26,Other Specific Qualifications,Higher Education - Undergraduate,Plant and Machine Operators,Management,137.0,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,0
1,1,5,9773,1,Complete Secondary Education,135.0,1,Other Specific Qualifications,Complete Secondary Education,Administrative,Administrative,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate,0
1,1,5,9500,1,Complete Secondary Education,132.0,1,Other Specific Qualifications,Other Specific Qualifications,Agriculture and Fishery,Agriculture and Fishery,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,12.4,0.5,1.79,Graduate,0
1,1,1,9085,1,Complete Secondary Education,135.0,1,Complete Secondary Education,Higher Education - Undergraduate,Plant and Machine Operators,Management,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,0
1,1,4,9500,1,Complete Secondary Education,115.0,1,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Management,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,0
1,53,1,9085,1,Other,130.0,1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,1
1,1,4,171,1,Complete Secondary Education,133.1,1,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Elementary Occupations,110.0,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,0
